"patient_id","question_id","model","score_bleu","score_rouge_l","score_bert"
1,0,"deepseek-v3",0.58846784,0.82857144,0.98577577
1,1,"deepseek-v3",1.0,1.0,1.0
1,2,"deepseek-v3",0.22840552,0.5945946,0.93202984
1,3,"deepseek-v3",0.3088153,0.734375,0.95048183
1,4,"deepseek-v3",0.67375267,0.877193,0.9820766
1,5,"deepseek-v3",0.8423627,1.0,0.99209875
1,6,"deepseek-v3",0.47074914,0.8636364,0.97356176
1,7,"deepseek-v3",0.28256774,0.85714287,0.9631607
1,8,"deepseek-v3",0.0,0.6666667,0.9500606
1,9,"deepseek-v3",0.30678338,0.78911567,0.95568836
2,0,"deepseek-v3",0.6946497,0.89855075,0.9818884
2,1,"deepseek-v3",1.0,1.0,1.0
2,2,"deepseek-v3",0.25131977,0.57894737,0.93199104
2,3,"deepseek-v3",0.4828471,0.9285714,0.97015715
2,4,"deepseek-v3",0.40465996,0.65217394,0.9547942
2,5,"deepseek-v3",0.8555262,1.0,0.9926506
2,6,"deepseek-v3",0.3777678,0.85057473,0.97407466
2,7,"deepseek-v3",0.4556162,0.95652175,0.97727937
2,8,"deepseek-v3",0.0,0.6666667,0.95133424
2,9,"deepseek-v3",0.275413,0.7906977,0.95875823
3,0,"deepseek-v3",1.0,1.0,1.0
3,1,"deepseek-v3",0.8282477,0.9411765,0.9914837
3,2,"deepseek-v3",0.22840552,0.5945946,0.9341312
3,3,"deepseek-v3",0.33701733,0.625,0.9375332
3,4,"deepseek-v3",0.39229676,0.60465115,0.94863397
3,5,"deepseek-v3",0.8423627,1.0,0.99366903
3,6,"deepseek-v3",0.13844167,0.6388889,0.93779594
3,7,"deepseek-v3",0.4556162,0.95652175,0.97840005
3,8,"deepseek-v3",0.0,0.7692308,0.9586556
3,9,"deepseek-v3",0.2145027,0.672,0.93551767
4,0,"deepseek-v3",0.09054183,0.26666668,0.9138061
4,1,"deepseek-v3",1.0,1.0,0.9999998
4,2,"deepseek-v3",0.17442156,0.54545456,0.92896247
4,3,"deepseek-v3",0.11624032,0.6126126,0.9381206
4,4,"deepseek-v3",0.82324904,0.90909094,0.99397254
4,5,"deepseek-v3",1.0,1.0,1.0
4,6,"deepseek-v3",0.18671486,0.6666667,0.9375389
4,7,"deepseek-v3",0.4556162,0.95652175,0.97840005
4,8,"deepseek-v3",0.0,0.6666667,0.9528417
4,9,"deepseek-v3",0.06866073,0.54285717,0.9222489
5,0,"deepseek-v3",0.5482639,0.7659575,0.9668681
5,1,"deepseek-v3",0.72925717,0.8695652,0.9703522
5,2,"deepseek-v3",0.22840552,0.5945946,0.9341312
5,3,"deepseek-v3",0.2730943,0.6554622,0.93084115
5,4,"deepseek-v3",0.68853265,0.8148148,0.9719838
5,5,"deepseek-v3",0.27679068,0.6976744,0.95405436
5,6,"deepseek-v3",0.16046299,0.5714286,0.9335028
5,7,"deepseek-v3",0.0,0.36363637,0.9458902
5,8,"deepseek-v3",0.45480192,0.85714287,0.9705667
5,9,"deepseek-v3",0.20090097,0.75,0.947257
6,0,"deepseek-v3",0.5405626,0.7936508,0.96703285
6,1,"deepseek-v3",0.70168793,0.90909094,0.9937474
6,2,"deepseek-v3",0.18957952,0.55813956,0.9293106
6,3,"deepseek-v3",0.42163822,0.7131783,0.9659671
6,4,"deepseek-v3",0.6450925,0.8,0.97151595
6,5,"deepseek-v3",0.27176458,0.6666667,0.924366
6,6,"deepseek-v3",0.0,0.16666667,0.8604146
6,7,"deepseek-v3",0.42502815,0.9230769,0.9843606
6,8,"deepseek-v3",0.0,0.6666667,0.9528417
6,9,"deepseek-v3",0.5670841,0.8296296,0.9631588
1,0,"llama3.3-70b",0.8901732,0.95652175,0.99002725
1,1,"llama3.3-70b",1.0,1.0,1.0
1,2,"llama3.3-70b",0.22840552,0.5945946,0.93202984
1,3,"llama3.3-70b",0.52994126,0.86885244,0.9581742
1,4,"llama3.3-70b",0.31606567,0.5833333,0.9379397
1,5,"llama3.3-70b",0.8423627,1.0,0.99209875
1,6,"llama3.3-70b",0.546718,0.85057473,0.9717882
